beta1,beta2,alpha
0.6541946748776603,0.044020555041580096,0.0016220410924364006
0.593666602010458,0.013865039111258288,1.2064161041306052
0.6541976587629625,0.045369178971640826,2.409126311891267e-05
0.6541832371555822,0.04339773636487388,0.0032273996204716083
0.6541891026144205,0.04527721947368476,5.359262574134327e-05
0.6541860589265911,0.04544851039741914,8.183489876080938e-06
0.65399532378368,0.04254677273686837,0.006352982546105314
0.6542003087721943,0.04516210479354984,0.0001061737060170048
0.6541927871107214,0.045000193639835324,0.00021104565150233787
0.6675516596751493,0.030148509694155425,0.18746646894441335
0.6543219571965521,0.044460943534226686,0.0008174729542639195
0.6541696097354979,0.04477665672766154,0.0004157342752952889
0.6524522127214127,0.03787438191706396,0.0439629883031814
0.6541791673896669,0.04551671853282483,1.1563215008305898e-06
0.6554639809060329,0.040960985057953384,0.014847531281306425
